Site_Code,Exists,District,District_Name
CCCM-SO2401-0306,yes,SO2401,Baidoa
CCCM-SO2401-0307,yes,SO2401,Baidoa
CCCM-SO2401-0807,yes,SO2401,Baidoa
CCCM-SO2401-0850,yes,SO2401,Baidoa
CCCM-SO2401-0309,yes,SO2401,Baidoa
CCCM-SO2401-0895,yes,SO2401,Baidoa
CCCM-SO2401-0312,yes,SO2401,Baidoa
CCCM-SO2401-0314,yes,SO2401,Baidoa
CCCM-SO2401-0317,yes,SO2401,Baidoa
CCCM-SO2401-0612,yes,SO2401,Baidoa
CCCM-SO2401-0319,yes,SO2401,Baidoa
CCCM-SO2401-0322,yes,SO2401,Baidoa
CCCM-SO2401-0323,yes,SO2401,Baidoa
CCCM-SO2401-0808,yes,SO2401,Baidoa
CCCM-SO2401-0896,yes,SO2401,Baidoa
CCCM-SO2401-0326,yes,SO2401,Baidoa
CCCM-SO2401-0327,yes,SO2401,Baidoa
CCCM-SO2401-0330,yes,SO2401,Baidoa
CCCM-SO2401-0331,yes,SO2401,Baidoa
CCCM-SO2401-0332,yes,SO2401,Baidoa
CCCM-SO2401-0333,yes,SO2401,Baidoa
CCCM-SO2401-0334,yes,SO2401,Baidoa
CCCM-SO2401-0335,yes,SO2401,Baidoa
CCCM-SO2401-0774,yes,SO2401,Baidoa
CCCM-SO2401-0337,yes,SO2401,Baidoa
CCCM-SO2401-0340,yes,SO2401,Baidoa
CCCM-SO2401-0897,yes,SO2401,Baidoa
CCCM-SO2401-0342,yes,SO2401,Baidoa
CCCM-SO2401-0343,yes,SO2401,Baidoa
CCCM-SO2401-0344,yes,SO2401,Baidoa
CCCM-SO2401-0345,yes,SO2401,Baidoa
CCCM-SO2401-0346,yes,SO2401,Baidoa
CCCM-SO2401-0613,yes,SO2401,Baidoa
CCCM-SO2401-0348,yes,SO2401,Baidoa
CCCM-SO2401-0349,yes,SO2401,Baidoa
CCCM-SO2401-0351,yes,SO2401,Baidoa
CCCM-SO2401-0352,yes,SO2401,Baidoa
CCCM-SO2401-0353,yes,SO2401,Baidoa
CCCM-SO2401-0355,yes,SO2401,Baidoa
CCCM-SO2401-0356,yes,SO2401,Baidoa
CCCM-SO2401-0358,yes,SO2401,Baidoa
CCCM-SO2401-0360,yes,SO2401,Baidoa
CCCM-SO2401-0900,yes,SO2401,Baidoa
